incident_id,incident_datetime,borough,dispatch_area,zipcode,travel_seconds,response_seconds,start_lat,start_lon,dest_lat,dest_lon,depot_id,depot_name,depot_layer,start_source,start_mode,crow_flies_km,prefer_borough,initial_call_type,final_call_type,alarm_box_borough,alarm_box_number,alarm_box_location,dispatch_wait_seconds,valid_incident_rspns_time_indc,engines_assigned_quantity,ladders_assigned_quantity,other_units_assigned_quantity,highest_alarm_level,borough_norm,dispatch_borough,modzcta
260630-X2149-002-0963,2026-06-30T20:39:20.000,BRONX,2149,10454,454.0,493.0,40.805819,-73.915834,40.80542361982092,-73.91600164341598,53,Engine 83/Ladder 29,fdny_firehouse,nearest_firehouse_in_bronx,hybrid_static,0.04617304190061299,BRONX,Utility Emergency - Water,NonMedical Emergencies,BRONX,2149,WILLIS AVE & E 138 ST,39,Y,1.0,0.0,0.0,First Alarm,BRONX,,10454
260630-M0690-002-1327,2026-06-30T20:38:08.000,MANHATTAN,690,10001,310.0,316.0,40.75326066,-74.00382216,40.75156446523435,-73.998960240437,333,CSL 11 AVE & W 30 ST,csl,nearest_synthetic_csl_in_manhattan,hybrid_csl,0.4508841428678818,MANHATTAN,Medical - Breathing / Ill or Sick,Medical Emergencies,MANHATTAN,690,8 AVE & W 31 ST,6,Y,1.0,0.0,0.0,First Alarm,MANHATTAN,,10001
260630-Q6227-001-0723,2026-06-30T20:37:53.000,QUEENS,6227,11360,310.0,317.0,40.793268,-73.776297,40.78328226639438,-73.78270478477023,197,Queens Borough Command,fdny_firehouse,nearest_firehouse_in_queens,hybrid_static,1.2344745540045483,QUEENS,Assist Civilian - Non-Medical,NonMedical Emergencies,QUEENS,6227,28 AVE & CLEARVIEW XWAY E SVC RD,7,Y,1.0,0.0,0.0,First Alarm,QUEENS,,11360
260630-X3409-001-0960,2026-06-30T20:37:29.000,BRONX,3409,10469,184.0,203.0,40.86516206,-73.84074697,40.87003588077933,-73.84751155607768,498,CSL ALLERTON AVE & MICKLE AVE,csl,nearest_synthetic_csl_in_bronx,hybrid_csl,0.7856602258381625,BRONX,Vehicle Accident - Other,NonMedical Emergencies,BRONX,3409,ASTOR AVE & EASTCHESTER RD,19,Y,1.0,1.0,8.0,First Alarm,BRONX,,10469
260630-B4141-001-0891,2026-06-30T20:36:46.000,BROOKLYN,4141,11234,239.0,249.0,40.58689038,-73.94318574,40.58390802101884,-73.92225171655224,419,CSL VOORHIES AVE & E 26 ST,csl,nearest_synthetic_csl_in_brooklyn,hybrid_csl,1.7986212861984345,BROOKLYN,Medical - No PT Contact EMS is Onscene,Medical Emergencies,BROOKLYN,4141,AVENUE T & E 55 ST,9,Y,1.0,0.0,0.0,First Alarm,BROOKLYN,,11234
260630-Q6854-001-0722,2026-06-30T20:36:40.000,QUEENS,6854,11411,475.0,518.0,40.70437173,-73.74396692,40.69460421026876,-73.73596622950046,718,CSL 113 AVE & 212 ST,csl,nearest_synthetic_csl_in_queens,hybrid_csl,1.278482924557188,QUEENS,Utility Emergency - Electric,NonMedical Emergencies,QUEENS,6854,118 AVE & 219 ST,42,Y,0.0,1.0,0.0,First Alarm,QUEENS,,11411
260630-M1474-003-1325,2026-06-30T20:36:39.000,MANHATTAN,1474,10027,133.0,141.0,40.811921,-73.9546,40.812448125004096,-73.9526188214235,34,Engine 37/Ladder 40,fdny_firehouse,nearest_firehouse_in_manhattan,hybrid_static,0.17673566000401683,MANHATTAN,Medical - Breathing / Ill or Sick,Medical Emergencies,MANHATTAN,1474,MORNINGSIDE AVE & W 125 ST\KING BLVD,7,Y,1.0,0.0,0.0,First Alarm,MANHATTAN,,10027
260630-M0903-001-1318,2026-06-30T20:35:21.000,MANHATTAN,903,10022,475.0,482.0,40.756891,-73.970805,40.758106456852204,-73.9682197312134,24,Battalion 8/Engine 8/Ladder 2,fdny_firehouse,nearest_firehouse_in_manhattan,hybrid_static,0.256285084662852,MANHATTAN,Medical - No PT Contact EMS is Onscene,Medical Emergencies,MANHATTAN,903,SUTTON PL S & E 55 ST,6,Y,1.0,0.0,0.0,First Alarm,MANHATTAN,,10022
260630-M0861-001-1319,2026-06-30T20:35:02.000,MANHATTAN,861,10022,288.0,319.0,40.756891,-73.970805,40.758106456852204,-73.9682197312134,24,Battalion 8/Engine 8/Ladder 2,fdny_firehouse,nearest_firehouse_in_manhattan,hybrid_static,0.256285084662852,MANHATTAN,Utility Emergency - Gas,NonMedical Emergencies,MANHATTAN,861,2 AVE & E 51 ST,30,Y,1.0,1.0,0.0,First Alarm,MANHATTAN,,10022
260630-M2016-001-1320,2026-06-30T20:34:35.000,MANHATTAN,2016,10280,319.0,380.0,40.709819,-74.012608,40.70826501463085,-74.01712001220953,43,Engine 10/Ladder 10,fdny_firehouse,nearest_firehouse_in_manhattan,hybrid_static,0.4177284264265832,MANHATTAN,Utility Emergency - Water,NonMedical Emergencies,MANHATTAN,2016,F/O HOLOCAUST MUS -1ST PL & S END AVE,61,Y,0.0,1.0,1.0,First Alarm,MANHATTAN,,10280
